name
Aegon Targaryen
Aegon Targaryen
Aelyx Targaryen
"Aenar ""the Exile"" Targaryen"
Aerion Targaryen
Aerys Targaryen
Argella Durrandon
"Argilac ""the Arrogant"" Durrandon"
Arrec Durrandon
Baelon Targaryen
Balerion the Black Dread
Bastard of Blackhaven
Brandon Snow
Crispian Celtigar
Daemion Targaryen
Daemon Velaryon
"Daenys ""the Dreamer"" Targaryen"
Dickon Morrigon
Edmund Gardener
Edmyn Tully
Elaena Targaryen
"Gaemon ""the Glorious"" Targaryen"
Garse VII Gardener
Gawen Gardener
Harlan Tyrell
"Harren ""the Black"" Hoare"
"Harwyn ""Hardhand"" Hoare"
Jon Mooton
Loren I Lannister
Maegon Targaryen
Manfred Hightower
Marla Sunderland
Meraxes
Meria Martell
Mern IX Gardener
Orys Baratheon
Rhaenys Targaryen
Ronnel Arryn
Sharra Arryn
Torrhen Stark
Triston Massey
Valaena Velaryon
Vhagar
Visenya Targaryen
